Sat 4 Jul 2015 11:09:25 AEST
MAPPINGS V HII +X Region Grid: ZQ Pk65
Run: sph,two,LPk=6.5,dep=Depln_Fe_1.50.txt,kap=inf,SF=cont,a03,isp,#11,P6,Mv5.0.13,Svm802,FE15
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),[NII]/Ha(6),[NII]+/Ha(7),[SII]+/Ha(8),[NII]/[OII]+(9),[NII]+/[OII]+(10),[NII]/[SII]+(11),[NII]+/[SII]+(12),[OII]+/Hb(13),[OIII]/Hb(14),[OIII]+/Hb(15),[OIII]/[OII]+(16),[OIII]+/[OII]+(17),[OIII]/[SII]+(18),[OIII]+/[SII]+(19),4363/[OIII](20),4363/[OIII]+(21),[OI]/[OII]+(22),[OII]+/[SII]+(23),R23(24),S23(25),6716/6731(26),3729/3726(27)
   6.5000,  7.4590,  7.3490,  6.2190,  4.7190, -1.8629, -1.7358, -1.0762, -1.3691, -1.2420, -0.7867, -0.6596, -0.0248, -1.6643, -1.5353, -1.6395, -1.5105, -1.0571, -0.9281, -1.9529, -2.0820, -1.2528,  0.5824, -0.0116, -0.4550,  0.1154,  0.1094
   6.7500,  7.4590,  7.3490,  6.2190,  4.7190, -1.8595, -1.7324, -1.1818, -1.4287, -1.3017, -0.6777, -0.5507,  0.0374, -1.1539, -1.0249, -1.1913, -1.0623, -0.4403, -0.3113, -1.8923, -2.0213, -1.4499,  0.7510,  0.0735, -0.4855,  0.1153,  0.1114
   7.0000,  7.4590,  7.3490,  6.2190,  4.7190, -1.8946, -1.7675, -1.3013, -1.4969, -1.3699, -0.5933, -0.4662,  0.0696, -0.6881, -0.5591, -0.7577, -0.6286,  0.1460,  0.2750, -1.8339, -1.9629, -1.6259,  0.9036,  0.1613, -0.5061,  0.1156,  0.1137
   7.2500,  7.4590,  7.3490,  6.2190,  4.7190, -1.9826, -1.8555, -1.4323, -1.5633, -1.4362, -0.5503, -0.4232,  0.0468, -0.3113, -0.1823, -0.3581, -0.2291,  0.6549,  0.7839, -1.7794, -1.9085, -1.7557,  1.0130,  0.2482, -0.5168,  0.1163,  0.1159
   7.5000,  7.4590,  7.3490,  6.2190,  4.7190, -2.1140, -1.9869, -1.5699, -1.6107, -1.4836, -0.5441, -0.4170, -0.0385, -0.0442,  0.0848, -0.0057,  0.1233,  1.0609,  1.1899, -1.7292, -1.8582, -1.8251,  1.0666,  0.3285, -0.5205,  0.1170,  0.1178
   7.7500,  7.4590,  7.3490,  6.2190,  4.7190, -2.2634, -2.1363, -1.7061, -1.6352, -1.5081, -0.5573, -0.4303, -0.1649,  0.1309,  0.2599,  0.2958,  0.4249,  1.3737,  1.5027, -1.6827, -1.8117, -1.8431,  1.0779,  0.3986, -0.5225,  0.1175,  0.1191
   8.0000,  7.4590,  7.3490,  6.2190,  4.7190, -2.4016, -2.2745, -1.8279, -1.6431, -1.5161, -0.5737, -0.4467, -0.2966,  0.2431,  0.3722,  0.5398,  0.6688,  1.6092,  1.7382, -1.6408, -1.7699, -1.8303,  1.0694,  0.4565, -0.5289,  0.1179,  0.1198
   8.2500,  7.4590,  7.3490,  6.2190,  4.7190, -2.5048, -2.3777, -1.9205, -1.6426, -1.5156, -0.5843, -0.4572, -0.4016,  0.3135,  0.4426,  0.7152,  0.8442,  1.7735,  1.9025, -1.6064, -1.7355, -1.8074,  1.0583,  0.5007, -0.5420,  0.1178,  0.1200
   8.5000,  7.4590,  7.3490,  6.2190,  4.7190, -2.5670, -2.4399, -1.9780, -1.6399, -1.5128, -0.5890, -0.4619, -0.4675,  0.3555,  0.4845,  0.8230,  0.9520,  1.8739,  2.0029, -1.5815, -1.7106, -1.7880,  1.0509,  0.5305, -0.5582,  0.1175,  0.1197
c
   6.5000,  8.0610,  7.9510,  6.8210,  5.3210, -1.0971, -0.9701, -0.5178, -1.1468, -1.0197, -0.5793, -0.4523,  0.5124, -1.3576, -1.2286, -1.8700, -1.7409, -1.3025, -1.1735, -2.0169, -2.1460, -1.3212,  0.5674,  0.5202,  0.0945,  0.1110,  0.1057
   6.7500,  8.0610,  7.9510,  6.8210,  5.3210, -1.0876, -0.9605, -0.6217, -1.1983, -1.0712, -0.4659, -0.3388,  0.5721, -0.8490, -0.7199, -1.4210, -1.2920, -0.6886, -0.5596, -1.9671, -2.0961, -1.5232,  0.7324,  0.5937,  0.0651,  0.1109,  0.1072
   7.0000,  8.0610,  7.9510,  6.8210,  5.3210, -1.1102, -0.9832, -0.7439, -1.2593, -1.1322, -0.3663, -0.2393,  0.6089, -0.3741, -0.2451, -0.9830, -0.8540, -0.0901,  0.0390, -1.9232, -2.0522, -1.7122,  0.8930,  0.6658,  0.0422,  0.1112,  0.1090
   7.2500,  8.0610,  7.9510,  6.8210,  5.3210, -1.1835, -1.0564, -0.8834, -1.3262, -1.1991, -0.3001, -0.1730,  0.6008,  0.0264,  0.1554, -0.5744, -0.4454,  0.4517,  0.5807, -1.8883, -2.0173, -1.8670,  1.0261,  0.7339,  0.0255,  0.1118,  0.1106
   7.5000,  8.0610,  7.9510,  6.8210,  5.3210, -1.3068, -1.1797, -1.0355, -1.3823, -1.2552, -0.2713, -0.1443,  0.5318,  0.3197,  0.4487, -0.2121, -0.0831,  0.8988,  1.0279, -1.8627, -1.9917, -1.9666,  1.1109,  0.7933,  0.0130,  0.1123,  0.1118
   7.7500,  8.0610,  7.9510,  6.8210,  5.3210, -1.4594, -1.3324, -1.1908, -1.4168, -1.2897, -0.2687, -0.1416,  0.4121,  0.5085,  0.6375,  0.0964,  0.2255,  1.2446,  1.3736, -1.8434, -1.9724, -2.0081,  1.1481,  0.8403,  0.0020,  0.1127,  0.1124
   8.0000,  8.0610,  7.9510,  6.8210,  5.3210, -1.6126, -1.4855, -1.3350, -1.4322, -1.3051, -0.2776, -0.1506,  0.2730,  0.6204,  0.7495,  0.3474,  0.4764,  1.5020,  1.6310, -1.8278, -1.9568, -2.0060,  1.1546,  0.8746, -0.0108,  0.1128,  0.1127
   8.2500,  8.0610,  7.9510,  6.8210,  5.3210, -1.7391, -1.6120, -1.4516, -1.4360, -1.3090, -0.2875, -0.1604,  0.1495,  0.6834,  0.8125,  0.5339,  0.6630,  1.6825,  1.8115, -1.8155, -1.9445, -1.9822,  1.1485,  0.8979, -0.0272,  0.1124,  0.1123
   8.5000,  8.0610,  7.9510,  6.8210,  5.3210, -1.8248, -1.6978, -1.5308, -1.4350, -1.3080, -0.2940, -0.1669,  0.0621,  0.7175,  0.8466,  0.6554,  0.7844,  1.7964,  1.9255, -1.8065, -1.9356, -1.9556,  1.1410,  0.9126, -0.0458,  0.1115,  0.1114
c
   6.5000,  8.3620,  8.2520,  7.1220,  5.6220, -0.6883, -0.5612, -0.2804, -0.9274, -0.8003, -0.4079, -0.2808,  0.6990, -1.3291, -1.2001, -2.0280, -1.8990, -1.5086, -1.3795, -2.1187, -2.2478, -1.3348,  0.5195,  0.7044,  0.3268,  0.1060,  0.1002
