Sat 4 Jul 2015 10:44:19 AEST
MAPPINGS V HII +X Region Grid: ZQ Pk50
Run: sph,two,LPk=5.0,dep=Depln_Fe_1.50.txt,kap=inf,SF=cont,a03,isp,#11,P6,Mv5.0.13,Svm802,FE15
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),[NII]/Ha(6),[NII]+/Ha(7),[SII]+/Ha(8),[NII]/[OII]+(9),[NII]+/[OII]+(10),[NII]/[SII]+(11),[NII]+/[SII]+(12),[OII]+/Hb(13),[OIII]/Hb(14),[OIII]+/Hb(15),[OIII]/[OII]+(16),[OIII]+/[OII]+(17),[OIII]/[SII]+(18),[OIII]+/[SII]+(19),4363/[OIII](20),4363/[OIII]+(21),[OI]/[OII]+(22),[OII]+/[SII]+(23),R23(24),S23(25),6716/6731(26),3729/3726(27)
   6.5000,  7.4590,  7.3490,  6.2190,  4.7190, -1.8497, -1.7226, -1.0635, -1.3655, -1.2384, -0.7862, -0.6591, -0.0141, -1.6681, -1.5391, -1.6540, -1.5250, -1.0748, -0.9457, -1.9536, -2.0826, -1.2618,  0.5792, -0.0014, -0.4458,  0.1588,  0.1607
   6.7500,  7.4590,  7.3490,  6.2190,  4.7190, -1.8460, -1.7189, -1.1674, -1.4240, -1.2970, -0.6786, -0.5516,  0.0473, -1.1605, -1.0314, -1.2078, -1.0787, -0.4624, -0.3333, -1.8930, -2.0221, -1.4559,  0.7454,  0.0821, -0.4773,  0.1583,  0.1607
   7.0000,  7.4590,  7.3490,  6.2190,  4.7190, -1.8795, -1.7524, -1.2827, -1.4899, -1.3628, -0.5968, -0.4697,  0.0787, -0.7009, -0.5719, -0.7796, -0.6506,  0.1135,  0.2425, -1.8351, -1.9641, -1.6254,  0.8931,  0.1663, -0.4989,  0.1579,  0.1607
   7.2500,  7.4590,  7.3490,  6.2190,  4.7190, -1.9599, -1.8328, -1.4031, -1.5511, -1.4240, -0.5568, -0.4297,  0.0584, -0.3366, -0.2075, -0.3950, -0.2659,  0.5993,  0.7283, -1.7817, -1.9107, -1.7431,  0.9943,  0.2465, -0.5106,  0.1575,  0.1607
   7.5000,  7.4590,  7.3490,  6.2190,  4.7190, -2.0674, -1.9404, -1.5161, -1.5900, -1.4629, -0.5513, -0.4242, -0.0114, -0.0899,  0.0391, -0.0785,  0.0505,  0.9602,  1.0892, -1.7344, -1.8635, -1.7958,  1.0387,  0.3156, -0.5149,  0.1572,  0.1607
   7.7500,  7.4590,  7.3490,  6.2190,  4.7190, -2.1660, -2.0390, -1.6067, -1.6052, -1.4781, -0.5593, -0.4323, -0.0959,  0.0574,  0.1864,  0.1533,  0.2823,  1.1991,  1.3282, -1.6945, -1.8236, -1.8011,  1.0458,  0.3688, -0.5168,  0.1570,  0.1607
   8.0000,  7.4590,  7.3490,  6.2190,  4.7190, -2.2322, -2.1052, -1.6656, -1.6076, -1.4805, -0.5667, -0.4396, -0.1606,  0.1386,  0.2677,  0.2992,  0.4283,  1.3402,  1.4692, -1.6637, -1.7927, -1.7888,  1.0409,  0.4053, -0.5196,  0.1569,  0.1607
   8.2500,  7.4590,  7.3490,  6.2190,  4.7190, -2.2673, -2.1402, -1.6972, -1.6066, -1.4795, -0.5701, -0.4430, -0.1973,  0.1811,  0.3101,  0.3783,  0.5074,  1.4148,  1.5438, -1.6424, -1.7714, -1.7777,  1.0365,  0.4277, -0.5239,  0.1569,  0.1607
   8.5000,  7.4590,  7.3490,  6.2190,  4.7190, -2.2832, -2.1562, -1.7119, -1.6055, -1.4784, -0.5714, -0.4443, -0.2146,  0.2024,  0.3314,  0.4170,  0.5461,  1.4512,  1.5802, -1.6291, -1.7581, -1.7714,  1.0341,  0.4401, -0.5279,  0.1569,  0.1606
c
   6.5000,  8.0610,  7.9510,  6.8210,  5.3210, -1.0860, -0.9589, -0.5056, -1.1431, -1.0161, -0.5803, -0.4533,  0.5210, -1.3641, -1.2350, -1.8851, -1.7561, -1.3223, -1.1933, -2.0199, -2.1489, -1.3305,  0.5628,  0.5286,  0.1030,  0.1589,  0.1606
   6.7500,  8.0610,  7.9510,  6.8210,  5.3210, -1.0762, -0.9491, -0.6079, -1.1937, -1.0666, -0.4683, -0.3412,  0.5800, -0.8582, -0.7291, -1.4381, -1.3091, -0.7127, -0.5837, -1.9702, -2.0992, -1.5295,  0.7254,  0.6008,  0.0723,  0.1585,  0.1606
   7.0000,  8.0610,  7.9510,  6.8210,  5.3210, -1.0978, -0.9707, -0.7262, -1.2527, -1.1256, -0.3716, -0.2446,  0.6158, -0.3895, -0.2604, -1.0053, -0.8762, -0.1242,  0.0049, -1.9267, -2.0558, -1.7119,  0.8811,  0.6700,  0.0482,  0.1582,  0.1606
   7.2500,  8.0610,  7.9510,  6.8210,  5.3210, -1.1655, -1.0384, -0.8556, -1.3149, -1.1878, -0.3099, -0.1829,  0.6087, -0.0010,  0.1280, -0.6097, -0.4806,  0.3953,  0.5243, -1.8927, -2.0217, -1.8536,  1.0050,  0.7327,  0.0305,  0.1579,  0.1606
   7.5000,  8.0610,  7.9510,  6.8210,  5.3210, -1.2694, -1.1424, -0.9840, -1.3622, -1.2352, -0.2855, -0.1584,  0.5505,  0.2728,  0.4018, -0.2777, -0.1487,  0.7990,  0.9281, -1.8688, -1.9978, -1.9330,  1.0768,  0.7835,  0.0178,  0.1577,  0.1606
   7.7500,  8.0610,  7.9510,  6.8210,  5.3210, -1.3767, -1.2497, -1.0939, -1.3855, -1.2584, -0.2828, -0.1557,  0.4652,  0.4366,  0.5656, -0.0286,  0.1005,  1.0741,  1.2031, -1.8525, -1.9815, -1.9547,  1.1026,  0.8193,  0.0079,  0.1576,  0.1606
   8.0000,  8.0610,  7.9510,  6.8210,  5.3210, -1.4584, -1.3313, -1.1720, -1.3920, -1.2650, -0.2864, -0.1593,  0.3893,  0.5235,  0.6525,  0.1342,  0.2632,  1.2398,  1.3689, -1.8415, -1.9705, -1.9464,  1.1056,  0.8416, -0.0007,  0.1575,  0.1606
   8.2500,  8.0610,  7.9510,  6.8210,  5.3210, -1.5073, -1.3802, -1.2180, -1.3923, -1.2652, -0.2893, -0.1622,  0.3401,  0.5662,  0.6952,  0.2260,  0.3551,  1.3291,  1.4581, -1.8345, -1.9635, -1.9329,  1.1030,  0.8540, -0.0085,  0.1575,  0.1606
   8.5000,  8.0610,  7.9510,  6.8210,  5.3210, -1.5323, -1.4053, -1.2416, -1.3915, -1.2645, -0.2908, -0.1637,  0.3141,  0.5864,  0.7154,  0.2723,  0.4013,  1.3731,  1.5021, -1.8303, -1.9594, -1.9234,  1.1008,  0.8606, -0.0149,  0.1575,  0.1606
c
