Thu Dec 10 14:16:36 CLST 2015
MAPPINGS V HII Region Grid: QZ pp_GCZO_Pk50_kinf
Run: pp,two,LPk=5.0,dep=Depln_Fe_1.50.txt,kap=inf,GCZFea05t2,SF=cont,a05,isp,#11,P6,Mv5.0.16,Svm802,FE15
Resampled with pyqz 0.7.2 (sampling=3) 2015-12-17 09:00:42.547189
Original LogQ: [ 6.5   6.75  7.    7.25  7.5   7.75  8.    8.25  8.5 ]
Original Tot[O]+12: [ 8.11   8.485  8.635  8.835  8.985]
LogQ(0),Tot[O]+12(1),gas[O]+12(2),Tot[Fe](3),gas[Fe](4),LogP/k(5),[NII]/Ha(6),[NII]+/Ha(7),[SII]+/Ha(8),[NII]/[OII]+(9),[NII]+/[OII]+(10),[NII]/[SII]+(11),[NII]+/[SII]+(12),[OII]+/Hb(13),[OIII]/Hb(14),[OIII]+/Hb(15),[OIII]/[OII]+(16),[OIII]+/[OII]+(17),[OIII]/[SII]+(18),[OIII]+/[SII]+(19),4363/[OIII](20),4363/[OIII]+(21),[OI]/[OII]+(22),[OII]+/[SII]+(23),R23(24),S23(25),6716/6731(26),3729/3726(27)
7.9167,8.1100,8.0000,6.3700,4.8700,5.0000,-1.5801,-1.4530,-1.4286,-1.3651,-1.2380,-0.1515,-0.0244,0.2408,0.7102,0.8392,0.4688,0.5978,1.6828,1.8118,-1.8232,-1.9521,-1.8564,1.2137,0.9368,-0.1192,0.1573,0.1606
8.0000,8.1100,8.0000,6.3700,4.8700,5.0000,-1.6477,-1.5206,-1.4896,-1.3686,-1.2415,-0.1581,-0.0310,0.1761,0.7393,0.8683,0.5632,0.6922,1.7737,1.9027,-1.8163,-1.9453,-1.8489,1.2105,0.9486,-0.1288,0.1572,0.1606
8.0833,8.1100,8.0000,6.3700,4.8700,5.0000,-1.7164,-1.5893,-1.5514,-1.3713,-1.2442,-0.1649,-0.0378,0.1093,0.7638,0.8928,0.6548,0.7838,1.8607,1.9897,-1.8096,-1.9386,-1.8391,1.2060,0.9596,-0.1400,0.1571,0.1606
8.1667,8.1100,8.0000,6.3700,4.8700,5.0000,-1.7856,-1.6585,-1.6136,-1.3737,-1.2466,-0.1719,-0.0448,0.0420,0.7861,0.9151,0.7437,0.8727,1.9454,2.0744,-1.8031,-1.9321,-1.8288,1.2014,0.9699,-0.1535,0.1571,0.1606
8.2500,8.1100,8.0000,6.3700,4.8700,5.0000,-1.8539,-1.7268,-1.6753,-1.3758,-1.2487,-0.1786,-0.0515,-0.0243,0.8052,0.9342,0.8295,0.9585,2.0267,2.1557,-1.7967,-1.9257,-1.8176,1.1972,0.9795,-0.1688,0.1570,0.1606
8.3333,8.1100,8.0000,6.3700,4.8700,5.0000,-1.9209,-1.7938,-1.7363,-1.3776,-1.2505,-0.1846,-0.0575,-0.0896,0.8217,0.9507,0.9120,1.0410,2.1049,2.2339,-1.7905,-1.9195,-1.8058,1.1933,0.9884,-0.1862,0.1569,0.1606
8.4167,8.1100,8.0000,6.3700,4.8700,5.0000,-1.9870,-1.8599,-1.7971,-1.3792,-1.2522,-0.1899,-0.0628,-0.1546,0.8364,0.9654,0.9913,1.1203,2.1807,2.3097,-1.7846,-1.9136,-1.7937,1.1895,0.9967,-0.2061,0.1568,0.1605
8.5000,8.1100,8.0000,6.3700,4.8700,5.0000,-2.0521,-1.9250,-1.8574,-1.3806,-1.2536,-0.1947,-0.0676,-0.2188,0.8486,0.9776,1.0674,1.1964,2.2534,2.3824,-1.7789,-1.9079,-1.7810,1.1860,1.0044,-0.2282,0.1567,0.1605
6.5000,8.2350,8.1250,6.5478,5.0478,5.0000,-0.8190,-0.6919,-0.4683,-1.0354,-0.9083,-0.3514,-0.2243,0.6798,-1.0221,-0.8931,-1.7010,-1.5718,-1.0156,-0.8866,-2.0355,-2.1645,-1.2713,0.6855,0.6912,0.1460,0.1591,0.1606
6.5833,8.2350,8.1250,6.5478,5.0478,5.0000,-0.8150,-0.6879,-0.5032,-1.0505,-0.9234,-0.3123,-0.1852,0.6986,-0.8530,-0.7239,-1.5508,-1.4217,-0.8108,-0.6818,-2.0212,-2.1502,-1.3355,0.7400,0.7136,0.1329,0.1589,0.1606
6.6667,8.2350,8.1250,6.5478,5.0478,5.0000,-0.8152,-0.6880,-0.5405,-1.0663,-0.9392,-0.2751,-0.1481,0.7138,-0.6889,-0.5598,-1.4019,-1.2729,-0.6088,-0.4797,-2.0079,-2.1369,-1.3977,0.7932,0.7357,0.1203,0.1588,0.1606
6.7500,8.2350,8.1250,6.5478,5.0478,5.0000,-0.8187,-0.6916,-0.5801,-1.0831,-0.9560,-0.2393,-0.1122,0.7263,-0.5286,-0.3995,-1.2542,-1.1252,-0.4086,-0.2795,-1.9953,-2.1243,-1.4583,0.8456,0.7574,0.1083,0.1587,0.1606
6.8333,8.2350,8.1250,6.5478,5.0478,5.0000,-0.8262,-0.6991,-0.6218,-1.1007,-0.9736,-0.2052,-0.0782,0.7354,-0.3732,-0.2441,-1.1079,-0.9789,-0.2111,-0.0820,-1.9834,-2.1125,-1.5169,0.8968,0.7787,0.0968,0.1586,0.1606
6.9167,8.2350,8.1250,6.5478,5.0478,5.0000,-0.8387,-0.7117,-0.6659,-1.1185,-0.9913,-0.1737,-0.0467,0.7398,-0.2245,-0.0954,-0.9636,-0.8345,-0.0176,0.1115,-1.9727,-2.1017,-1.5724,0.9459,0.7994,0.0858,0.1585,0.1606
7.0000,8.2350,8.1250,6.5478,5.0478,5.0000,-0.8565,-0.7295,-0.7124,-1.1362,-1.0090,-0.1448,-0.0178,0.7399,-0.0819,0.0472,-0.8212,-0.6921,0.1722,0.3013,-1.9633,-2.0923,-1.6255,0.9934,0.8196,0.0753,0.1584,0.1606
7.0833,8.2350,8.1250,6.5478,5.0478,5.0000,-0.8806,-0.7536,-0.7611,-1.1537,-1.0266,-0.1202,0.0068,0.7336,0.0504,0.1795,-0.6826,-0.5535,0.3538,0.4829,-1.9551,-2.0842,-1.6735,1.0365,0.8390,0.0651,0.1583,0.1606
7.1667,8.2350,8.1250,6.5478,5.0478,5.0000,-0.9122,-0.7852,-0.8118,-1.1713,-1.0442,-0.1011,0.0259,0.7188,0.1688,0.2978,-0.5494,-0.4204,0.5234,0.6524,-1.9482,-2.0772,-1.7145,1.0729,0.8572,0.0552,0.1583,0.1606
7.2500,8.2350,8.1250,6.5478,5.0478,5.0000,-0.9512,-0.8242,-0.8649,-1.1887,-1.0616,-0.0870,0.0400,0.6962,0.2747,0.4038,-0.4208,-0.2919,0.6830,0.8120,-1.9429,-2.0719,-1.7496,1.1039,0.8743,0.0458,0.1582,0.1606
7.3333,8.2350,8.1250,6.5478,5.0478,5.0000,-0.9958,-0.8687,-0.9197,-1.2045,-1.0774,-0.0767,0.0504,0.6667,0.3693,0.4983,-0.2969,-0.1679,0.8329,0.9619,-1.9385,-2.0675,-1.7787,1.1298,0.8904,0.0367,0.1581,0.1606
7.4167,8.2350,8.1250,6.5478,5.0478,5.0000,-1.0451,-0.9180,-0.9758,-1.2177,-1.0906,-0.0699,0.0572,0.6303,0.4515,0.5805,-0.1783,-0.0492,0.9716,1.1006,-1.9341,-2.0632,-1.8010,1.1498,0.9052,0.0276,0.1580,0.1606
7.5000,8.2350,8.1250,6.5478,5.0478,5.0000,-1.1004,-0.9733,-1.0335,-1.2291,-1.1020,-0.0674,0.0598,0.5859,0.5203,0.6493,-0.0651,0.0641,1.0985,1.2275,-1.9300,-2.0591,-1.8161,1.1634,0.9187,0.0185,0.1579,0.1606
7.5833,8.2350,8.1250,6.5478,5.0478,5.0000,-1.1596,-1.0325,-1.0923,-1.2391,-1.1120,-0.0676,0.0595,0.5361,0.5795,0.7084,0.0439,0.1730,1.2168,1.3459,-1.9260,-2.0551,-1.8262,1.1728,0.9312,0.0095,0.1579,0.1606
7.6667,8.2350,8.1250,6.5478,5.0478,5.0000,-1.2209,-1.0938,-1.1518,-1.2476,-1.1205,-0.0692,0.0579,0.4829,0.6316,0.7605,0.1492,0.2783,1.3287,1.4578,-1.9221,-2.0511,-1.8323,1.1794,0.9430,0.0005,0.1578,0.1606
7.7500,8.2350,8.1250,6.5478,5.0478,5.0000,-1.2858,-1.1588,-1.2123,-1.2544,-1.1273,-0.0735,0.0535,0.4243,0.6741,0.8031,0.2503,0.3793,1.4320,1.5611,-1.9180,-2.0470,-1.8331,1.1818,0.9537,-0.0085,0.1578,0.1606
