Sat 4 Jul 2015 12:10:01 AEST
MAPPINGS V HII +X Region Grid: ZQ Pk75
Run: sph,two,LPk=7.5,dep=Depln_Fe_1.50.txt,kap=inf,SF=cont,a03,isp,#11,P6,Mv5.0.13,Svm802,FE15
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),[NII]/Ha(6),[NII]+/Ha(7),[SII]+/Ha(8),[NII]/[OII]+(9),[NII]+/[OII]+(10),[NII]/[SII]+(11),[NII]+/[SII]+(12),[OII]+/Hb(13),[OIII]/Hb(14),[OIII]+/Hb(15),[OIII]/[OII]+(16),[OIII]+/[OII]+(17),[OIII]/[SII]+(18),[OIII]+/[SII]+(19),4363/[OIII](20),4363/[OIII]+(21),[OI]/[OII]+(22),[OII]+/[SII]+(23),R23(24),S23(25),6716/6731(26),3729/3726(27)
   6.5000,  7.4590,  7.3490,  6.2190,  4.7190, -1.8590, -1.7319, -1.1619, -1.2906, -1.1636, -0.6970, -0.5700, -0.1002, -1.6580, -1.5290, -1.5578, -1.4288, -0.9642, -0.8352, -1.9502, -2.0792, -1.1765,  0.5936, -0.0843, -0.5105, -0.0768, -0.1210
   6.7500,  7.4590,  7.3490,  6.2190,  4.7190, -1.8555, -1.7284, -1.2692, -1.3515, -1.2245, -0.5863, -0.4592, -0.0364, -1.1473, -1.0183, -1.1108, -0.9818, -0.3456, -0.2166, -1.8895, -2.0185, -1.3753,  0.7652,  0.0066, -0.5308, -0.0781, -0.1150
   7.0000,  7.4590,  7.3490,  6.2190,  4.7190, -1.8907, -1.7636, -1.3898, -1.4217, -1.2946, -0.5009, -0.3738, -0.0024, -0.6807, -0.5517, -0.6783, -0.5492,  0.2426,  0.3716, -1.8311, -1.9601, -1.5539,  0.9208,  0.1056, -0.5402, -0.0775, -0.1076
   7.2500,  7.4590,  7.3490,  6.2190,  4.7190, -1.9798, -1.8527, -1.5224, -1.4905, -1.3634, -0.4574, -0.3303, -0.0239, -0.3021, -0.1731, -0.2783, -0.1492,  0.7549,  0.8839, -1.7766, -1.9056, -1.6873,  1.0331,  0.2089, -0.5406, -0.0755, -0.1000
   7.5000,  7.4590,  7.3490,  6.2190,  4.7190, -2.1158, -1.9888, -1.6643, -1.5410, -1.4139, -0.4516, -0.3245, -0.1108, -0.0316,  0.0974,  0.0792,  0.2082,  1.1686,  1.2976, -1.7259, -1.8550, -1.7613,  1.0894,  0.3067, -0.5359, -0.0729, -0.0932
   7.7500,  7.4590,  7.3490,  6.2190,  4.7190, -2.2784, -2.1514, -1.8117, -1.5690, -1.4420, -0.4668, -0.3397, -0.2468,  0.1495,  0.2786,  0.3964,  0.5254,  1.4986,  1.6277, -1.6780, -1.8071, -1.7844,  1.1023,  0.3919, -0.5323, -0.0702, -0.0878
   8.0000,  7.4590,  7.3490,  6.2190,  4.7190, -2.4454, -2.3183, -1.9582, -1.5804, -1.4533, -0.4872, -0.3601, -0.4040,  0.2714,  0.4005,  0.6755,  0.8045,  1.7687,  1.8977, -1.6328, -1.7618, -1.7748,  1.0932,  0.4638, -0.5365, -0.0682, -0.0839
   8.2500,  7.4590,  7.3490,  6.2190,  4.7190, -2.5946, -2.4675, -2.0923, -1.5818, -1.4548, -0.5022, -0.3752, -0.5535,  0.3554,  0.4845,  0.9089,  1.0379,  1.9885,  2.1175, -1.5920, -1.7210, -1.7498,  1.0796,  0.5225, -0.5537, -0.0677, -0.0821
   8.5000,  7.4590,  7.3490,  6.2190,  4.7190, -2.7074, -2.5804, -2.1984, -1.5785, -1.4514, -0.5090, -0.3820, -0.6712,  0.4124,  0.5415,  1.0836,  1.2126,  2.1530,  2.2821, -1.5588, -1.6878, -1.7219,  1.0694,  0.5673, -0.5820, -0.0692, -0.0828
c
   6.5000,  8.0610,  7.9510,  6.8210,  5.3210, -1.0898, -0.9627, -0.6061, -1.0687, -0.9417, -0.4836, -0.3566,  0.4411, -1.3441, -1.2150, -1.7852, -1.6562, -1.2001, -1.0711, -2.0075, -2.1365, -1.2435,  0.5851,  0.4506,  0.0385, -0.0918, -0.1311
   6.7500,  8.0610,  7.9510,  6.8210,  5.3210, -1.0797, -0.9526, -0.7114, -1.1216, -0.9945, -0.3683, -0.2413,  0.5028, -0.8342, -0.7052, -1.3370, -1.2079, -0.5837, -0.4546, -1.9568, -2.0858, -1.4476,  0.7533,  0.5289,  0.0205, -0.0927, -0.1266
   7.0000,  8.0610,  7.9510,  6.8210,  5.3210, -1.1019, -0.9748, -0.8342, -1.1847, -1.0576, -0.2677, -0.1406,  0.5421, -0.3573, -0.2283, -0.8994, -0.7704,  0.0175,  0.1466, -1.9118, -2.0408, -1.6396,  0.9170,  0.6102,  0.0104, -0.0920, -0.1212
   7.2500,  8.0610,  7.9510,  6.8210,  5.3210, -1.1755, -1.0484, -0.9746, -1.2541, -1.1271, -0.2009, -0.0738,  0.5362,  0.0463,  0.1753, -0.4899, -0.3609,  0.5633,  0.6923, -1.8755, -2.0045, -1.7985,  1.0532,  0.6933,  0.0060, -0.0904, -0.1161
   7.5000,  8.0610,  7.9510,  6.8210,  5.3210, -1.3019, -1.1748, -1.1301, -1.3132, -1.1861, -0.1718, -0.0448,  0.4670,  0.3442,  0.4733, -0.1228,  0.0062,  1.0186,  1.1476, -1.8484, -1.9775, -1.9033,  1.1414,  0.7712,  0.0038, -0.0887, -0.1122
   7.7500,  8.0610,  7.9510,  6.8210,  5.3210, -1.4649, -1.3379, -1.2952, -1.3511, -1.2241, -0.1698, -0.0427,  0.3402,  0.5393,  0.6683,  0.1991,  0.3281,  1.3804,  1.5095, -1.8275, -1.9566, -1.9507,  1.1814,  0.8356,  0.0001, -0.0873, -0.1096
   8.0000,  8.0610,  7.9510,  6.8210,  5.3210, -1.6424, -1.5154, -1.4616, -1.3701, -1.2430, -0.1809, -0.0538,  0.1801,  0.6590,  0.7881,  0.4789,  0.6079,  1.6681,  1.7972, -1.8098, -1.9389, -1.9533,  1.1892,  0.8838, -0.0087, -0.0869, -0.1085
   8.2500,  8.0610,  7.9510,  6.8210,  5.3210, -1.8109, -1.6838, -1.6167, -1.3761, -1.2491, -0.1942, -0.0671,  0.0165,  0.7306,  0.8597,  0.7141,  0.8431,  1.8960,  2.0250, -1.7946, -1.9236, -1.9277,  1.1819,  0.9179, -0.0261, -0.0882, -0.1095
   8.5000,  8.0610,  7.9510,  6.8210,  5.3210, -1.9482, -1.8211, -1.7452, -1.3744, -1.2473, -0.2030, -0.0759, -0.1234,  0.7729,  0.9020,  0.8963,  1.0254,  2.0677,  2.1968, -1.7820, -1.9111, -1.8903,  1.1714,  0.9411, -0.0521, -0.0923, -0.1136
c
   6.5000,  8.3620,  8.2520,  7.1220,  5.6220, -0.6722, -0.5451, -0.3664, -0.8520, -0.7250, -0.3058, -0.1787,  0.6389, -1.3005, -1.1714, -1.9394, -1.8103, -1.3931, -1.2641, -2.0957, -2.2247, -1.2570,  0.5463,  0.6455,  0.2749, -0.1071, -0.1442
   6.7500,  8.3620,  8.2520,  7.1220,  5.6220, -0.6655, -0.5384, -0.4749, -0.8950, -0.7680, -0.1906, -0.0635,  0.6873, -0.8051, -0.6761, -1.4924, -1.3634, -0.7880, -0.6589, -2.0599, -2.1889, -1.4563,  0.7045,  0.7058,  0.2535, -0.1085, -0.1422
   7.0000,  8.3620,  8.2520,  7.1220,  5.6220, -0.6880, -0.5609, -0.6048, -0.9465, -0.8194, -0.0832,  0.0439,  0.7150, -0.3397, -0.2106, -1.0547, -0.9256, -0.1914, -0.0624, -2.0330, -2.1620, -1.6468,  0.8633,  0.7637,  0.2369, -0.1087, -0.1398
   7.2500,  8.3620,  8.2520,  7.1220,  5.6220, -0.7588, -0.6317, -0.7569, -1.0068, -0.8797, -0.0019,  0.1252,  0.7034,  0.0606,  0.1897, -0.6427, -0.5137,  0.3621,  0.4912, -2.0188, -2.1479, -1.8118,  1.0049,  0.8194,  0.2223, -0.1085, -0.1382
   7.5000,  8.3620,  8.2520,  7.1220,  5.6220, -0.8827, -0.7556, -0.9283, -1.0630, -0.9359,  0.0456,  0.1726,  0.6348,  0.3613,  0.4903, -0.2735, -0.1444,  0.8351,  0.9641, -2.0182, -2.1472, -1.9307,  1.1086,  0.8696,  0.2065, -0.1084, -0.1379
   7.7500,  8.3620,  8.2520,  7.1220,  5.6220, -1.0446, -0.9176, -1.1103, -1.1026, -0.9756,  0.0657,  0.1927,  0.5119,  0.5581,  0.6871,  0.0462,  0.1752,  1.2145,  1.3435, -2.0241, -2.1532, -1.9948,  1.1683,  0.9093,  0.1883, -0.1088, -0.1387
   8.0000,  8.3620,  8.2520,  7.1220,  5.6220, -1.2216, -1.0945, -1.2908, -1.1254, -0.9983,  0.0692,  0.1963,  0.3574,  0.6769,  0.8059,  0.3195,  0.4485,  1.5141,  1.6431, -2.0287, -2.1578, -2.0120,  1.1946,  0.9382,  0.1685, -0.1102, -0.1406
   8.2500,  8.3620,  8.2520,  7.1220,  5.6220, -1.3906, -1.2636, -1.4562, -1.1359, -1.0088,  0.0656,  0.1927,  0.1986,  0.7469,  0.8759,  0.5483,  0.6773,  1.7497,  1.8788, -2.0287, -2.1578, -1.9963,  1.2014,  0.9588,  0.1471, -0.1134, -0.1444
   8.5000,  8.3620,  8.2520,  7.1220,  5.6220, -1.5308, -1.4038, -1.5929, -1.1380, -1.0110,  0.0621,  0.1891,  0.0603,  0.7890,  0.9180,  0.7287,  0.8577,  1.9287,  2.0578, -2.0243, -2.1534, -1.9618,  1.2001,  0.9745,  0.1241, -0.1202, -0.1523
c
   6.5000,  8.7600,  8.6500,  7.5200,  6.0200, -0.2015, -0.0744, -0.1837, -0.3916, -0.2646, -0.0178,  0.1092,  0.6510, -1.5021, -1.3731, -2.1531, -2.0241, -1.7793, -1.6503, -2.4000, -2.5290, -1.1972,  0.3738,  0.6551,  0.4582, -0.1454, -0.1842
