Sat 4 Jul 2015 12:30:12 AEST
MAPPINGS V HII +X Region Grid: ZQ Pk80
Run: sph,two,LPk=8.0,dep=Depln_Fe_1.50.txt,kap=inf,SF=cont,a03,isp,#11,P6,Mv5.0.13,Svm802,FE15
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),[NII]/Ha(6),[NII]+/Ha(7),[SII]+/Ha(8),[NII]/[OII]+(9),[NII]+/[OII]+(10),[NII]/[SII]+(11),[NII]+/[SII]+(12),[OII]+/Hb(13),[OIII]/Hb(14),[OIII]+/Hb(15),[OIII]/[OII]+(16),[OIII]+/[OII]+(17),[OIII]/[SII]+(18),[OIII]+/[SII]+(19),4363/[OIII](20),4363/[OIII]+(21),[OI]/[OII]+(22),[OII]+/[SII]+(23),R23(24),S23(25),6716/6731(26),3729/3726(27)
   8.5000,  8.0610,  7.9510,  6.8210,  5.3210, -1.9986, -1.8715, -1.9328, -1.2688, -1.1418, -0.0658,  0.0613, -0.2800,  0.7911,  0.9202,  1.0712,  1.2002,  2.2743,  2.4033, -1.7678, -1.8968, -1.7681,  1.2031,  0.9467, -0.0507, -0.2236, -0.2653
c
   6.5000,  8.3620,  8.2520,  7.1220,  5.6220, -0.6719, -0.5448, -0.5055, -0.7432, -0.6162, -0.1663, -0.0393,  0.5300, -1.2768, -1.1478, -1.8068, -1.6778, -1.2299, -1.1009, -2.0692, -2.1982, -1.1322,  0.5769,  0.5390,  0.1984, -0.2292, -0.2866
   6.7500,  8.3620,  8.2520,  7.1220,  5.6220, -0.6634, -0.5364, -0.6153, -0.7882, -0.6611, -0.0482,  0.0789,  0.5821, -0.7780, -0.6490, -1.3601, -1.2311, -0.6201, -0.4911, -2.0310, -2.1600, -1.3346,  0.7400,  0.6069,  0.1973, -0.2313, -0.2850
   7.0000,  8.3620,  8.2520,  7.1220,  5.6220, -0.6844, -0.5573, -0.7454, -0.8420, -0.7150,  0.0610,  0.1880,  0.6136, -0.3092, -0.1802, -0.9228, -0.7938, -0.0198,  0.1092, -2.0020, -2.1310, -1.5286,  0.9030,  0.6783,  0.2015, -0.2323, -0.2831
   7.2500,  8.3620,  8.2520,  7.1220,  5.6220, -0.7547, -0.6277, -0.8979, -0.9041, -0.7771,  0.1432,  0.2702,  0.6041,  0.0932,  0.2223, -0.5108, -0.3818,  0.5365,  0.6655, -1.9868, -2.1158, -1.6961,  1.0473,  0.7549,  0.2051, -0.2327, -0.2818
   7.5000,  8.3620,  8.2520,  7.1220,  5.6220, -0.8800, -0.7529, -1.0711, -0.9608, -0.8337,  0.1911,  0.3181,  0.5344,  0.3940,  0.5230, -0.1405, -0.0115,  1.0114,  1.1404, -1.9866, -2.1157, -1.8157,  1.1519,  0.8298,  0.2030, -0.2330, -0.2816
   7.7500,  8.3620,  8.2520,  7.1220,  5.6220, -1.0453, -0.9183, -1.2569, -0.9997, -0.8727,  0.2115,  0.3386,  0.4074,  0.5895,  0.7185,  0.1821,  0.3111,  1.3934,  1.5224, -1.9939, -2.1230, -1.8790,  1.2113,  0.8913,  0.1938, -0.2336, -0.2824
   8.0000,  8.3620,  8.2520,  7.1220,  5.6220, -1.2286, -1.1016, -1.4442, -1.0211, -0.8941,  0.2156,  0.3427,  0.2451,  0.7072,  0.8362,  0.4621,  0.5911,  1.6988,  1.8279, -1.9998, -2.1288, -1.8943,  1.2367,  0.9354,  0.1794, -0.2348, -0.2839
   8.2500,  8.3620,  8.2520,  7.1220,  5.6220, -1.4087, -1.2816, -1.6220, -1.0293, -0.9023,  0.2133,  0.3404,  0.0730,  0.7770,  0.9061,  0.7041,  0.8331,  1.9467,  2.0758, -2.0005, -2.1295, -1.8746,  1.2427,  0.9656,  0.1606, -0.2375, -0.2870
