Sat 4 Jul 2015 11:00:33 AEST
MAPPINGS V HII +X Region Grid: ZQ Pk60
Run: sph,two,LPk=6.0,dep=Depln_Fe_1.50.txt,kap=inf,SF=cont,a03,isp,#11,P6,Mv5.0.13,Svm802,FE15
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),[NII]/Ha(6),[NII]+/Ha(7),[SII]+/Ha(8),[NII]/[OII]+(9),[NII]+/[OII]+(10),[NII]/[SII]+(11),[NII]+/[SII]+(12),[OII]+/Hb(13),[OIII]/Hb(14),[OIII]+/Hb(15),[OIII]/[OII]+(16),[OIII]+/[OII]+(17),[OIII]/[SII]+(18),[OIII]+/[SII]+(19),4363/[OIII](20),4363/[OIII]+(21),[OI]/[OII]+(22),[OII]+/[SII]+(23),R23(24),S23(25),6716/6731(26),3729/3726(27)
   6.5000,  7.4590,  7.3490,  6.2190,  4.7190, -1.8620, -1.7349, -1.0676, -1.3753, -1.2483, -0.7944, -0.6673, -0.0173, -1.6660, -1.5370, -1.6487, -1.5196, -1.0677, -0.9387, -1.9533, -2.0823, -1.2601,  0.5810, -0.0044, -0.4491,  0.1450,  0.1445
   6.7500,  7.4590,  7.3490,  6.2190,  4.7190, -1.8584, -1.7313, -1.1728, -1.4345, -1.3074, -0.6856, -0.5585,  0.0446, -1.1560, -1.0270, -1.2006, -1.0716, -0.4517, -0.3227, -1.8926, -2.0216, -1.4566,  0.7489,  0.0800, -0.4804,  0.1447,  0.1451
   7.0000,  7.4590,  7.3490,  6.2190,  4.7190, -1.8930, -1.7659, -1.2917, -1.5019, -1.3748, -0.6014, -0.4743,  0.0765, -0.6912, -0.5622, -0.7677, -0.6387,  0.1328,  0.2619, -1.8343, -1.9634, -1.6313,  0.9005,  0.1663, -0.5021,  0.1445,  0.1459
   7.2500,  7.4590,  7.3490,  6.2190,  4.7190, -1.9794, -1.8523, -1.4208, -1.5669, -1.4398, -0.5586, -0.4315,  0.0540, -0.3166, -0.1876, -0.3706, -0.2416,  0.6377,  0.7667, -1.7801, -1.9091, -1.7587,  1.0083,  0.2508, -0.5138,  0.1445,  0.1467
   7.5000,  7.4590,  7.3490,  6.2190,  4.7190, -2.1058, -1.9787, -1.5534, -1.6123, -1.4852, -0.5523, -0.4253, -0.0283, -0.0535,  0.0756, -0.0251,  0.1039,  1.0348,  1.1639, -1.7304, -1.8595, -1.8244,  1.0600,  0.3277, -0.5183,  0.1445,  0.1472
   7.7500,  7.4590,  7.3490,  6.2190,  4.7190, -2.2428, -2.1157, -1.6786, -1.6342, -1.5072, -0.5641, -0.4371, -0.1448,  0.1155,  0.2445,  0.2603,  0.3893,  1.3304,  1.4594, -1.6854, -1.8144, -1.8386,  1.0701,  0.3931, -0.5206,  0.1445,  0.1476
   8.0000,  7.4590,  7.3490,  6.2190,  4.7190, -2.3589, -2.2318, -1.7813, -1.6401, -1.5131, -0.5776, -0.4505, -0.2563,  0.2193,  0.3484,  0.4756,  0.6046,  1.5382,  1.6672, -1.6466, -1.7756, -1.8247,  1.0625,  0.4448, -0.5261,  0.1444,  0.1478
   8.2500,  7.4590,  7.3490,  6.2190,  4.7190, -2.4360, -2.3089, -1.8506, -1.6391, -1.5120, -0.5854, -0.4583, -0.3355,  0.2806,  0.4096,  0.6161,  0.7451,  1.6698,  1.7988, -1.6165, -1.7455, -1.8052,  1.0537,  0.4814, -0.5358,  0.1443,  0.1478
   8.5000,  7.4590,  7.3490,  6.2190,  4.7190, -2.4776, -2.3505, -1.8888, -1.6369, -1.5099, -0.5888, -0.4617, -0.3800,  0.3147,  0.4437,  0.6947,  0.8237,  1.7428,  1.8718, -1.5959, -1.7250, -1.7906,  1.0481,  0.5044, -0.5467,  0.1443,  0.1477
c
