Sat 4 Jul 2015 12:00:55 AEST
MAPPINGS V HII +X Region Grid: ZQ Pk70
Run: sph,two,LPk=7.0,dep=Depln_Fe_1.50.txt,kap=inf,SF=cont,a03,isp,#11,P6,Mv5.0.13,Svm802,FE15
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),[NII]/Ha(6),[NII]+/Ha(7),[SII]+/Ha(8),[NII]/[OII]+(9),[NII]+/[OII]+(10),[NII]/[SII]+(11),[NII]+/[SII]+(12),[OII]+/Hb(13),[OIII]/Hb(14),[OIII]+/Hb(15),[OIII]/[OII]+(16),[OIII]+/[OII]+(17),[OIII]/[SII]+(18),[OIII]+/[SII]+(19),4363/[OIII](20),4363/[OIII]+(21),[OI]/[OII]+(22),[OII]+/[SII]+(23),R23(24),S23(25),6716/6731(26),3729/3726(27)
   6.5000,  7.4590,  7.3490,  6.2190,  4.7190, -1.8590, -1.7319, -1.1005, -1.3443, -1.2173, -0.7585, -0.6315, -0.0461, -1.6614, -1.5324, -1.6154, -1.4863, -1.0296, -0.9005, -1.9522, -2.0812, -1.2314,  0.5858, -0.0321, -0.4712,  0.0441,  0.0245
   6.7500,  7.4590,  7.3490,  6.2190,  4.7190, -1.8556, -1.7285, -1.2065, -1.4044, -1.2774, -0.6491, -0.5220,  0.0167, -1.1509, -1.0218, -1.1675, -1.0385, -0.4122, -0.2831, -1.8915, -2.0205, -1.4292,  0.7554,  0.0547, -0.4988,  0.0440,  0.0288
   7.0000,  7.4590,  7.3490,  6.2190,  4.7190, -1.8909, -1.7638, -1.3265, -1.4734, -1.3463, -0.5644, -0.4373,  0.0494, -0.6845, -0.5555, -0.7340, -0.6049,  0.1751,  0.3041, -1.8330, -1.9621, -1.6062,  0.9090,  0.1458, -0.5163,  0.0450,  0.0341
   7.2500,  7.4590,  7.3490,  6.2190,  4.7190, -1.9797, -1.8526, -1.4586, -1.5409, -1.4138, -0.5211, -0.3940,  0.0270, -0.3066, -0.1775, -0.3336, -0.2045,  0.6862,  0.8153, -1.7784, -1.9075, -1.7379,  1.0198,  0.2377, -0.5241,  0.0468,  0.0392
   7.5000,  7.4590,  7.3490,  6.2190,  4.7190, -2.1141, -1.9870, -1.5990, -1.5899, -1.4628, -0.5151, -0.3880, -0.0598, -0.0372,  0.0918,  0.0226,  0.1516,  1.0973,  1.2264, -1.7279, -1.8569, -1.8099,  1.0748,  0.3236, -0.5253,  0.0488,  0.0436
   7.7500,  7.4590,  7.3490,  6.2190,  4.7190, -2.2716, -2.1446, -1.7421, -1.6163, -1.4892, -0.5296, -0.4025, -0.1924,  0.1417,  0.2708,  0.3342,  0.4632,  1.4209,  1.5499, -1.6804, -1.8094, -1.8305,  1.0867,  0.3992, -0.5258,  0.0507,  0.0469
   8.0000,  7.4590,  7.3490,  6.2190,  4.7190, -2.4268, -2.2997, -1.8786, -1.6261, -1.4990, -0.5482, -0.4212, -0.3394,  0.2599,  0.3889,  0.5993,  0.7283,  1.6771,  1.8061, -1.6364, -1.7654, -1.8194,  1.0778,  0.4633, -0.5321,  0.0519,  0.0491
   8.2500,  7.4590,  7.3490,  6.2190,  4.7190, -2.5551, -2.4280, -1.9938, -1.6265, -1.4994, -0.5613, -0.4342, -0.4688,  0.3380,  0.4671,  0.8068,  0.9358,  1.8720,  2.0010, -1.5984, -1.7274, -1.7949,  1.0652,  0.5147, -0.5480,  0.0520,  0.0498
   8.5000,  7.4590,  7.3490,  6.2190,  4.7190, -2.6420, -2.5149, -2.0746, -1.6233, -1.4962, -0.5673, -0.4403, -0.5601,  0.3879,  0.5169,  0.9479,  1.0770,  2.0039,  2.1329, -1.5691, -1.6981, -1.7707,  1.0560,  0.5518, -0.5703,  0.0511,  0.0492
c
   6.5000,  8.0610,  7.9510,  6.8210,  5.3210, -1.0919, -0.9648, -0.5427, -1.1220, -0.9950, -0.5492, -0.4222,  0.4926, -1.3522, -1.2232, -1.8448, -1.7157, -1.2720, -1.1429, -2.0139, -2.1429, -1.2991,  0.5728,  0.5009,  0.0783,  0.0340,  0.0166
   6.7500,  8.0610,  7.9510,  6.8210,  5.3210, -1.0822, -0.9551, -0.6470, -1.1740, -1.0469, -0.4352, -0.3081,  0.5529, -0.8431, -0.7141, -1.3960, -1.2670, -0.6572, -0.5281, -1.9637, -2.0928, -1.5020,  0.7388,  0.5758,  0.0520,  0.0339,  0.0200
   7.0000,  8.0610,  7.9510,  6.8210,  5.3210, -1.1047, -0.9777, -0.7695, -1.2358, -1.1087, -0.3352, -0.2082,  0.5906, -0.3673, -0.2383, -0.9579, -0.8289, -0.0573,  0.0717, -1.9194, -2.0484, -1.6923,  0.9006,  0.6506,  0.0328,  0.0349,  0.0239
   7.2500,  8.0610,  7.9510,  6.8210,  5.3210, -1.1784, -1.0513, -0.9097, -1.3038, -1.1768, -0.2687, -0.1416,  0.5833,  0.0349,  0.1640, -0.5483, -0.4193,  0.4869,  0.6159, -1.8838, -2.0128, -1.8492,  1.0352,  0.7234,  0.0198,  0.0363,  0.0275
   7.5000,  8.0610,  7.9510,  6.8210,  5.3210, -1.3037, -1.1766, -1.0641, -1.3615, -1.2345, -0.2396, -0.1125,  0.5139,  0.3311,  0.4602, -0.1827, -0.0537,  0.9392,  1.0682, -1.8573, -1.9863, -1.9519,  1.1219,  0.7889,  0.0105,  0.0378,  0.0302
   7.7500,  8.0610,  7.9510,  6.8210,  5.3210, -1.4627, -1.3356, -1.2255, -1.3981, -1.2710, -0.2372, -0.1101,  0.3897,  0.5240,  0.6530,  0.1342,  0.2633,  1.2951,  1.4242, -1.8369, -1.9660, -1.9970,  1.1609,  0.8420,  0.0017,  0.0389,  0.0319
   8.0000,  8.0610,  7.9510,  6.8210,  5.3210, -1.6304, -1.5033, -1.3830, -1.4157, -1.2886, -0.2474, -0.1204,  0.2382,  0.6408,  0.7698,  0.4025,  0.5316,  1.5708,  1.6998, -1.8200, -1.9490, -1.9977,  1.1683,  0.8818, -0.0102,  0.0392,  0.0326
   8.2500,  8.0610,  7.9510,  6.8210,  5.3210, -1.7805, -1.6534, -1.5210, -1.4209, -1.2939, -0.2595, -0.1324,  0.0923,  0.7089,  0.8379,  0.6165,  0.7456,  1.7780,  1.9070, -1.8060, -1.9350, -1.9730,  1.1615,  0.9096, -0.0280,  0.0384,  0.0318
   8.5000,  8.0610,  7.9510,  6.8210,  5.3210, -1.8929, -1.7659, -1.6252, -1.4199, -1.2928, -0.2678, -0.1407, -0.0219,  0.7475,  0.8766,  0.7695,  0.8985,  1.9216,  2.0506, -1.7950, -1.9241, -1.9408,  1.1521,  0.9282, -0.0509,  0.0359,  0.0293
c
   6.5000,  8.3620,  8.2520,  7.1220,  5.6220, -0.6797, -0.5526, -0.3040, -0.9035, -0.7764, -0.3756, -0.2486,  0.6833, -1.3181, -1.1891, -2.0014, -1.8724, -1.4736, -1.3445, -2.1108, -2.2399, -1.3125,  0.5279,  0.6891,  0.3123,  0.0229,  0.0056
   6.7500,  8.3620,  8.2520,  7.1220,  5.6220, -0.6739, -0.5468, -0.4118, -0.9455, -0.8184, -0.2621, -0.1350,  0.7298, -0.8248, -0.6957, -1.5546, -1.4256, -0.8712, -0.7421, -2.0765, -2.2055, -1.5099,  0.6834,  0.7458,  0.2817,  0.0222,  0.0071
   7.0000,  8.3620,  8.2520,  7.1220,  5.6220, -0.6974, -0.5703, -0.5416, -0.9956, -0.8685, -0.1558, -0.0287,  0.7552, -0.3617, -0.2327, -1.1170, -0.9879, -0.2772, -0.1481, -2.0513, -2.1804, -1.6983,  0.8398,  0.7977,  0.2548,  0.0223,  0.0088
   7.2500,  8.3620,  8.2520,  7.1220,  5.6220, -0.7687, -0.6417, -0.6936, -1.0543, -0.9273, -0.0751,  0.0519,  0.7415,  0.0358,  0.1649, -0.7057, -0.5767,  0.2735,  0.4025, -2.0391, -2.1681, -1.8609,  0.9792,  0.8436,  0.2302,  0.0225,  0.0099
   7.5000,  8.3620,  8.2520,  7.1220,  5.6220, -0.8922, -0.7652, -0.8641, -1.1092, -0.9821, -0.0282,  0.0989,  0.6721,  0.3336,  0.4627, -0.3385, -0.2095,  0.7426,  0.8716, -2.0402, -2.1693, -1.9774,  1.0811,  0.8809,  0.2059,  0.0226,  0.0099
   7.7500,  8.3620,  8.2520,  7.1220,  5.6220, -1.0513, -0.9243, -1.0429, -1.1477, -1.0207, -0.0085,  0.1186,  0.5511,  0.5275,  0.6565, -0.0236,  0.1054,  1.1156,  1.2447, -2.0478, -2.1768, -2.0393,  1.1392,  0.9080,  0.1812,  0.0222,  0.0092
   8.0000,  8.3620,  8.2520,  7.1220,  5.6220, -1.2209, -1.0938, -1.2156, -1.1696, -1.0425, -0.0053,  0.1218,  0.4032,  0.6433,  0.7723,  0.2401,  0.3691,  1.4044,  1.5334, -2.0535, -2.1825, -2.0548,  1.1643,  0.9269,  0.1574,  0.0212,  0.0077
   8.2500,  8.3620,  8.2520,  7.1220,  5.6220, -1.3757, -1.2486, -1.3665, -1.1799, -1.0528, -0.0092,  0.1179,  0.2585,  0.7105,  0.8395,  0.4519,  0.5810,  1.6226,  1.7517, -2.0544, -2.1835, -2.0397,  1.1707,  0.9407,  0.1343,  0.0187,  0.0048
   8.5000,  8.3620,  8.2520,  7.1220,  5.6220, -1.4959, -1.3689, -1.4820, -1.1836, -1.0565, -0.0140,  0.1131,  0.1418,  0.7500,  0.8790,  0.6082,  0.7372,  1.7778,  1.9068, -2.0511, -2.1801, -2.0107,  1.1696,  0.9520,  0.1122,  0.0139, -0.0007
c
   6.5000,  8.7600,  8.6500,  7.5200,  6.0200, -0.2298, -0.1028, -0.1310, -0.4369, -0.3099, -0.0988,  0.0282,  0.6694, -1.5514, -1.4224, -2.2208, -2.0918, -1.8827, -1.7536, -2.4439, -2.5730, -1.2553,  0.3381,  0.6729,  0.4833, -0.0101, -0.0315
   6.7500,  8.7600,  8.6500,  7.5200,  6.0200, -0.2325, -0.1055, -0.2397, -0.4626, -0.3356,  0.0072,  0.1343,  0.6919, -1.0893, -0.9603, -1.7813, -1.6522, -1.3114, -1.1824, -2.4308, -2.5598, -1.4405,  0.4698,  0.7015,  0.4481, -0.0125, -0.0331
   7.0000,  8.7600,  8.6500,  7.5200,  6.0200, -0.2563, -0.1292, -0.3708, -0.4948, -0.3677,  0.1145,  0.2416,  0.7000, -0.6474, -0.5184, -1.3474, -1.2184, -0.7381, -0.6091, -2.4237, -2.5527, -1.6258,  0.6093,  0.7255,  0.4151, -0.0143, -0.0344
