Sat 4 Jul 2015 12:21:49 AEST
MAPPINGS V HII +X Region Grid: ZQ Pk45
Run: sph,two,LPk=4.5,dep=Depln_Fe_1.50.txt,kap=inf,SF=cont,a03,isp,#11,P6,Mv5.0.13,Svm802,FE15
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),[NII]/Ha(6),[NII]+/Ha(7),[SII]+/Ha(8),[NII]/[OII]+(9),[NII]+/[OII]+(10),[NII]/[SII]+(11),[NII]+/[SII]+(12),[OII]+/Hb(13),[OIII]/Hb(14),[OIII]+/Hb(15),[OIII]/[OII]+(16),[OIII]+/[OII]+(17),[OIII]/[SII]+(18),[OIII]+/[SII]+(19),4363/[OIII](20),4363/[OIII]+(21),[OI]/[OII]+(22),[OII]+/[SII]+(23),R23(24),S23(25),6716/6731(26),3729/3726(27)
   8.5000,  8.0610,  7.9510,  6.8210,  5.3210, -1.4374, -1.3103, -1.1399, -1.3705, -1.2434, -0.2975, -0.1704,  0.3892,  0.5181,  0.6471,  0.1289,  0.2579,  1.2019,  1.3309, -1.8370, -1.9660, -1.8925,  1.0730,  0.8381, -0.0033,  0.1588,  0.1618
c
   6.5000,  8.3620,  8.2520,  7.1220,  5.6220, -0.6810, -0.5539, -0.2717, -0.9190, -0.7919, -0.4093, -0.2822,  0.6997, -1.3457, -1.2167, -2.0454, -1.9164, -1.5357, -1.4066, -2.1293, -2.2584, -1.3427,  0.5097,  0.7049,  0.3319,  0.1608,  0.1621
   6.7500,  8.3620,  8.2520,  7.1220,  5.6220, -0.6754, -0.5484, -0.3760, -0.9596, -0.8325, -0.2995, -0.1724,  0.7445, -0.8582, -0.7292, -1.6027, -1.4737, -0.9426, -0.8136, -2.0959, -2.2250, -1.5334,  0.6601,  0.7589,  0.2970,  0.1605,  0.1620
   7.0000,  8.3620,  8.2520,  7.1220,  5.6220, -0.6979, -0.5708, -0.4985, -1.0065, -0.8794, -0.1994, -0.0724,  0.7678, -0.4067, -0.2777, -1.1745, -1.0455, -0.3675, -0.2385, -2.0723, -2.2014, -1.7089,  0.8070,  0.8052,  0.2651,  0.1602,  0.1620
   7.2500,  8.3620,  8.2520,  7.1220,  5.6220, -0.7617, -0.6346, -0.6328, -1.0579, -0.9308, -0.1289, -0.0018,  0.7545, -0.0304,  0.0987, -0.7848, -0.6558,  0.1441,  0.2732, -2.0628, -2.1918, -1.8474,  0.9290,  0.8412,  0.2364,  0.1601,  0.1620
   7.5000,  8.3620,  8.2520,  7.1220,  5.6220, -0.8579, -0.7308, -0.7640, -1.0990, -0.9719, -0.0939,  0.0332,  0.6988,  0.2349,  0.3640, -0.4639, -0.3348,  0.5412,  0.6702, -2.0675, -2.1966, -1.9271,  1.0051,  0.8639,  0.2104,  0.1600,  0.1620
   7.7500,  8.3620,  8.2520,  7.1220,  5.6220, -0.9541, -0.8270, -0.8715, -1.1197, -0.9927, -0.0826,  0.0445,  0.6232,  0.3902,  0.5192, -0.2330, -0.1040,  0.8041,  0.9331, -2.0782, -2.2073, -1.9514,  1.0371,  0.8754,  0.1886,  0.1600,  0.1620
   8.0000,  8.3620,  8.2520,  7.1220,  5.6220, -1.0240, -0.8969, -0.9434, -1.1261, -0.9991, -0.0806,  0.0464,  0.5596,  0.4694,  0.5985, -0.0902,  0.0389,  0.9553,  1.0844, -2.0868, -2.2158, -1.9472,  1.0455,  0.8805,  0.1729,  0.1599,  0.1619
   8.2500,  8.3620,  8.2520,  7.1220,  5.6220, -1.0644, -0.9373, -0.9837, -1.1272, -1.0002, -0.0807,  0.0464,  0.5203,  0.5073,  0.6363, -0.0131,  0.1160,  1.0335,  1.1625, -2.0912, -2.2202, -1.9376,  1.0465,  0.8832,  0.1627,  0.1599,  0.1619
   8.5000,  8.3620,  8.2520,  7.1220,  5.6220, -1.0846, -0.9576, -1.0038, -1.1273, -1.0002, -0.0809,  0.0462,  0.5002,  0.5251,  0.6541,  0.0249,  0.1540,  1.0713,  1.2004, -2.0928, -2.2219, -1.9306,  1.0464,  0.8849,  0.1564,  0.1599,  0.1619
c
   6.5000,  8.7600,  8.6500,  7.5200,  6.0200, -0.2968, -0.1697, -0.1516, -0.4252, -0.2981, -0.1451, -0.0181,  0.5957, -1.6628, -1.5338, -2.2585, -2.1295, -1.9785, -1.8495, -2.5367, -2.6657, -1.2899,  0.2800,  0.5989,  0.4521,  0.1630,  0.1623
   6.7500,  8.7600,  8.6500,  7.5200,  6.0200, -0.2952, -0.1681, -0.2510, -0.4526, -0.3256, -0.0442,  0.0829,  0.6241, -1.2010, -1.0720, -1.8251, -1.6961, -1.4167, -1.2877, -2.5199, -2.6490, -1.4693,  0.4084,  0.6328,  0.4177,  0.1628,  0.1623
   7.0000,  8.7600,  8.6500,  7.5200,  6.0200, -0.3151, -0.1880, -0.3717, -0.4851, -0.3580,  0.0566,  0.1837,  0.6363, -0.7634, -0.6344, -1.3997, -1.2707, -0.8580, -0.7290, -2.5110, -2.6401, -1.6446,  0.5417,  0.6590,  0.3831,  0.1627,  0.1623
   7.2500,  8.7600,  8.6500,  7.5200,  6.0200, -0.3688, -0.2417, -0.5098, -0.5252, -0.3982,  0.1410,  0.2681,  0.6227, -0.3818, -0.2528, -1.0045, -0.8754, -0.3382, -0.2092, -2.5176, -2.6466, -1.8010,  0.6662,  0.6770,  0.3489,  0.1626,  0.1623
   7.5000,  8.7600,  8.6500,  7.5200,  6.0200, -0.4579, -0.3308, -0.6549, -0.5639, -0.4368,  0.1970,  0.3241,  0.5725, -0.0966,  0.0324, -0.6691, -0.5401,  0.0919,  0.2209, -2.5487, -2.6777, -1.9153,  0.7610,  0.6825,  0.3134,  0.1625,  0.1622
