Sat 4 Jul 2015 10:44:19 AEST
MAPPINGS V HII +X Region Grid: ZQ Pk50
Run: sph,two,LPk=5.0,dep=Depln_Fe_1.50.txt,kap=inf,SF=cont,a03,isp,#11,P6,Mv5.0.13,Svm802,FE15
Resampled with pyqz 0.7.0 (sampling=2) 2015-08-17 17:27:23.995958
Original LogQ:[ 6.5   6.75  7.    7.25  7.5   7.75  8.    8.25  8.5 ]
Original Tot[O]+12:[ 7.459  8.061  8.362  8.76   9.061  9.237]
LogQ(0),Tot[O]+12(1),gas[O]+12(2),Tot[Fe](3),gas[Fe](4),[NII]/Ha(5),[NII]+/Ha(6),[SII]+/Ha(7),[NII]/[OII]+(8),[NII]+/[OII]+(9),[NII]/[SII]+(10),[NII]+/[SII]+(11),[OII]+/Hb(12),[OIII]/Hb(13),[OIII]+/Hb(14),[OIII]/[OII]+(15),[OIII]+/[OII]+(16),[OIII]/[SII]+(17),[OIII]+/[SII]+(18),4363/[OIII](19),4363/[OIII]+(20),[OI]/[OII]+(21),[OII]+/[SII]+(22),R23(23),S23(24),6716/6731(25),3729/3726(26)
7.9167,7.4590,7.3490,6.2190,4.7190,-2.2149,-2.0879,-1.6499,-1.6074,-1.4803,-0.5644,-0.4373,-0.1421,0.1173,0.2464,0.2601,0.3892,1.3028,1.4319,-1.6728,-1.8019,-1.7928,1.0425,0.3950,-0.5185,0.1569,0.1607
8.0000,7.4590,7.3490,6.2190,4.7190,-2.2322,-2.1052,-1.6656,-1.6076,-1.4805,-0.5667,-0.4396,-0.1606,0.1386,0.2677,0.2992,0.4283,1.3402,1.4692,-1.6637,-1.7927,-1.7888,1.0409,0.4053,-0.5196,0.1569,0.1607
8.0833,7.4590,7.3490,6.2190,4.7190,-2.2465,-2.1194,-1.6783,-1.6073,-1.4802,-0.5684,-0.4413,-0.1757,0.1552,0.2842,0.3306,0.4597,1.3696,1.4986,-1.6556,-1.7846,-1.7850,1.0394,0.4140,-0.5210,0.1569,0.1607
8.1667,7.4590,7.3490,6.2190,4.7190,-2.2582,-2.1311,-1.6889,-1.6069,-1.4798,-0.5694,-0.4423,-0.1878,0.1697,0.2987,0.3573,0.4864,1.3949,1.5239,-1.6485,-1.7775,-1.7812,1.0379,0.4215,-0.5225,0.1569,0.1607
8.2500,7.4590,7.3490,6.2190,4.7190,-2.2673,-2.1402,-1.6972,-1.6066,-1.4795,-0.5701,-0.4430,-0.1973,0.1811,0.3101,0.3783,0.5074,1.4148,1.5438,-1.6424,-1.7714,-1.7777,1.0365,0.4277,-0.5239,0.1569,0.1607
8.3333,7.4590,7.3490,6.2190,4.7190,-2.2744,-2.1473,-1.7037,-1.6062,-1.4791,-0.5707,-0.4436,-0.2050,0.1901,0.3191,0.3949,0.5240,1.4304,1.5594,-1.6371,-1.7661,-1.7749,1.0354,0.4328,-0.5253,0.1569,0.1607
8.4167,7.4590,7.3490,6.2190,4.7190,-2.2799,-2.1528,-1.7087,-1.6059,-1.4788,-0.5712,-0.4441,-0.2109,0.1974,0.3264,0.4082,0.5373,1.4429,1.5719,-1.6327,-1.7617,-1.7729,1.0346,0.4370,-0.5266,0.1569,0.1606
8.5000,7.4590,7.3490,6.2190,4.7190,-2.2832,-2.1562,-1.7119,-1.6055,-1.4784,-0.5714,-0.4443,-0.2146,0.2024,0.3314,0.4170,0.5461,1.4512,1.5802,-1.6291,-1.7581,-1.7714,1.0341,0.4401,-0.5279,0.1569,0.1606
6.5000,7.6597,7.5497,6.4197,4.9197,-1.5988,-1.4717,-0.8691,-1.3145,-1.1874,-0.7342,-0.6072,0.1807,-1.5407,-1.4117,-1.7188,-1.5899,-1.1393,-1.0102,-1.9502,-2.0792,-1.2886,0.5818,0.1917,-0.2543,0.1587,0.1607
6.5833,7.6597,7.5497,6.4197,4.9197,-1.5927,-1.4656,-0.9017,-1.3325,-1.2054,-0.6954,-0.5683,0.2045,-1.3663,-1.2372,-1.5684,-1.4394,-0.9317,-0.8027,-1.9304,-2.0594,-1.3566,0.6388,0.2191,-0.2654,0.1586,0.1607
