Sat 4 Jul 2015 10:52:57 AEST
MAPPINGS V HII +X Region Grid: ZQ Pk55
Run: sph,two,LPk=5.5,dep=Depln_Fe_1.50.txt,kap=inf,SF=cont,a03,isp,#11,P6,Mv5.0.13,Svm802,FE15
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),[NII]/Ha(6),[NII]+/Ha(7),[SII]+/Ha(8),[NII]/[OII]+(9),[NII]+/[OII]+(10),[NII]/[SII]+(11),[NII]+/[SII]+(12),[OII]+/Hb(13),[OIII]/Hb(14),[OIII]+/Hb(15),[OIII]/[OII]+(16),[OIII]+/[OII]+(17),[OIII]/[SII]+(18),[OIII]+/[SII]+(19),4363/[OIII](20),4363/[OIII]+(21),[OI]/[OII]+(22),[OII]+/[SII]+(23),R23(24),S23(25),6716/6731(26),3729/3726(27)
   6.5000,  7.4590,  7.3490,  6.2190,  4.7190, -1.8551, -1.7280, -1.0647, -1.3705, -1.2435, -0.7904, -0.6633, -0.0149, -1.6670, -1.5380, -1.6522, -1.5231, -1.0720, -0.9430, -1.9535, -2.0825, -1.2620,  0.5801, -0.0020, -0.4468,  0.1554,  0.1567
   6.7500,  7.4590,  7.3490,  6.2190,  4.7190, -1.8514, -1.7243, -1.1695, -1.4294, -1.3023, -0.6819, -0.5549,  0.0469, -1.1579, -1.0288, -1.2047, -1.0757, -0.4573, -0.3283, -1.8928, -2.0219, -1.4577,  0.7474,  0.0819, -0.4784,  0.1549,  0.1569
   7.0000,  7.4590,  7.3490,  6.2190,  4.7190, -1.8855, -1.7584, -1.2869, -1.4961, -1.3690, -0.5986, -0.4715,  0.0785, -0.6950, -0.5660, -0.7735, -0.6445,  0.1240,  0.2530, -1.8347, -1.9637, -1.6303,  0.8975,  0.1673, -0.5003,  0.1546,  0.1570
   7.2500,  7.4590,  7.3490,  6.2190,  4.7190, -1.9695, -1.8425, -1.4128, -1.5595, -1.4325, -0.5568, -0.4297,  0.0568, -0.3242, -0.1952, -0.3810, -0.2520,  0.6217,  0.7508, -1.7808, -1.9098, -1.7540,  1.0028,  0.2499, -0.5122,  0.1543,  0.1572
   7.5000,  7.4590,  7.3490,  6.2190,  4.7190, -2.0883, -1.9612, -1.5376, -1.6023, -1.4752, -0.5507, -0.4237, -0.0205, -0.0675,  0.0615, -0.0470,  0.0820,  1.0045,  1.1335, -1.7320, -1.8611, -1.8144,  1.0515,  0.3235, -0.5167,  0.1540,  0.1574
   7.7500,  7.4590,  7.3490,  6.2190,  4.7190, -2.2082, -2.0811, -1.6473, -1.6211, -1.4940, -0.5609, -0.4338, -0.1228,  0.0922,  0.2212,  0.2150,  0.3440,  1.2752,  1.4043, -1.6892, -1.8182, -1.8241,  1.0602,  0.3834, -0.5189,  0.1538,  0.1574
   8.0000,  7.4590,  7.3490,  6.2190,  4.7190, -2.2992, -2.1721, -1.7281, -1.6251, -1.4980, -0.5711, -0.4440, -0.2109,  0.1854,  0.3145,  0.3964,  0.5254,  1.4503,  1.5794, -1.6542, -1.7832, -1.8104,  1.0540,  0.4278, -0.5231,  0.1537,  0.1575
   8.2500,  7.4590,  7.3490,  6.2190,  4.7190, -2.3528, -2.2257, -1.7763, -1.6239, -1.4968, -0.5765, -0.4494, -0.2665,  0.2370,  0.3661,  0.5036,  0.6326,  1.5510,  1.6800, -1.6286, -1.7576, -1.7949,  1.0474,  0.4570, -0.5297,  0.1537,  0.1575
   8.5000,  7.4590,  7.3490,  6.2190,  4.7190, -2.3791, -2.2520, -1.8005, -1.6223, -1.4953, -0.5786, -0.4516, -0.2949,  0.2642,  0.3932,  0.5591,  0.6881,  1.6028,  1.7318, -1.6120, -1.7410, -1.7850,  1.0437,  0.4742, -0.5365,  0.1537,  0.1574
c
